%time,field.x,field.y,field.theta,field.linear_velocity,field.angular_velocity
1550525674425811240,5.544444561,5.544444561,0.0,0.0,0.0
1550525674441902060,5.544444561,5.544444561,0.0,0.0,0.0
1550525674457825267,5.544444561,5.544444561,0.0,0.0,0.0
1550525674473810517,5.544444561,5.544444561,0.0,0.0,0.0
1550525674489809976,5.544444561,5.544444561,0.0,0.0,0.0
1550525674505814188,5.544444561,5.544444561,0.0,0.0,0.0
1550525674521810150,5.544444561,5.544444561,0.0,0.0,0.0
1550525674537821983,5.544444561,5.544444561,0.0,0.0,0.0
1550525674553810394,5.544444561,5.544444561,0.0,0.0,0.0
1550525674569808926,5.544444561,5.544444561,0.0,0.0,0.0
1550525674585812747,5.544444561,5.544444561,0.0,0.0,0.0
1550525674601809184,5.544444561,5.544444561,0.0,0.0,0.0
1550525674617827075,5.544444561,5.544444561,0.0,0.0,0.0
1550525674633807763,5.544444561,5.544444561,0.0,0.0,0.0
1550525674649808579,5.544444561,5.544444561,0.0,0.0,0.0
1550525674665808326,5.544444561,5.544444561,0.0,0.0,0.0
1550525674681809704,5.544444561,5.544444561,0.0,0.0,0.0
1550525674697824018,5.544444561,5.544444561,0.0,0.0,0.0
1550525674713853120,5.544444561,5.544444561,0.0,0.0,0.0
1550525674729867313,5.544444561,5.544444561,0.0,0.0,0.0
1550525674745860963,5.544444561,5.544444561,0.0,0.0,0.0
1550525674761867399,5.544444561,5.544444561,0.0,0.0,0.0
1550525674777870950,5.544444561,5.544444561,0.0,0.0,0.0
1550525674793853357,5.544444561,5.544444561,0.0,0.0,0.0
1550525674809891304,5.544444561,5.544444561,0.0,0.0,0.0
1550525674825865104,5.544444561,5.544444561,0.0,0.0,0.0
1550525674841851453,5.544444561,5.544444561,0.0,0.0,0.0
1550525674857870348,5.544444561,5.544444561,0.0,0.0,0.0
1550525674873853363,5.544444561,5.544444561,0.0,0.0,0.0
1550525674889856837,5.544444561,5.544444561,0.0,0.0,0.0
1550525674905861503,5.544444561,5.544444561,0.0,0.0,0.0
1550525674921864411,5.544444561,5.544444561,0.0,0.0,0.0
1550525674937863977,5.544444561,5.544444561,0.0,0.0,0.0
1550525674953804960,5.544444561,5.544444561,0.0,0.0,0.0
1550525674969855384,5.544444561,5.544444561,0.0,0.0,0.0
1550525674985864438,5.544444561,5.544444561,0.0,0.0,0.0
1550525675001855245,5.544444561,5.544444561,0.0,0.0,0.0
1550525675017875194,5.544444561,5.544444561,0.0,0.0,0.0
1550525675033858459,5.544444561,5.544444561,0.0,0.0,0.0
1550525675049871841,5.544444561,5.544444561,0.0,0.0,0.0
1550525675065865887,5.544444561,5.544444561,0.0,0.0,0.0
1550525675081872465,5.544444561,5.544444561,0.0,0.0,0.0
1550525675097862771,5.544444561,5.544444561,0.0,0.0,0.0
1550525675113850248,5.544444561,5.544444561,0.0,0.0,0.0
1550525675129872092,5.544444561,5.544444561,0.0,0.0,0.0
1550525675145871683,5.544444561,5.544444561,0.0,0.0,0.0
1550525675161874734,5.544444561,5.544444561,0.0,0.0,0.0
1550525675177867652,5.544444561,5.544444561,0.0,0.0,0.0
1550525675193850539,5.544444561,5.544444561,0.0,0.0,0.0
1550525675209869058,5.544444561,5.544444561,0.0,0.0,0.0
1550525675225859880,5.544444561,5.544444561,0.0,0.0,0.0
1550525675241874204,5.544444561,5.544444561,0.0,0.0,0.0
1550525675257874179,5.544444561,5.544444561,0.0,0.0,0.0
1550525675273853161,5.544444561,5.544444561,0.0,0.0,0.0
1550525675289871617,5.544444561,5.544444561,0.0,0.0,0.0
1550525675305868486,5.544444561,5.544444561,0.0,0.0,0.0
1550525675321860486,5.544444561,5.544444561,0.0,0.0,0.0
1550525675337864935,5.544444561,5.544444561,0.0,0.0,0.0
1550525675353853849,5.544444561,5.544444561,0.0,0.0,0.0
1550525675369868423,5.544444561,5.544444561,0.0,0.0,0.0
1550525675385868503,5.544444561,5.544444561,0.0,0.0,0.0
1550525675401880022,5.544444561,5.544444561,0.0,0.0,0.0
1550525675417869646,5.544444561,5.544444561,0.0,0.0,0.0
